"CGM","InternalCode"
"Dexcom G6","DX_DB_CIPHER"
"Dexcom G6","DX_DB_CONTEXT_NULL"
"Dexcom G6","DX_DB_CREATION_FAIL"
"Dexcom G6","DX_DB_DELETE_FAIL"
"Dexcom G6","DX_DB_DEL_EXCEPTION"
"Dexcom G6","DX_DB_DEL_EXCEPTION2"
"Dexcom G6","DX_DB_DEL_EXCEPTION3"
"Dexcom G6","DX_DB_GET_EXCEPTION1"
"Dexcom G6","DX_DB_GET_EXCEPTION2"
"Dexcom G6","DX_DB_INS_EXCEPTION"
"Dexcom G6","DX_DB_INS_FAILED"
"Dexcom G6","DX_DB_INTEGRITY_FAIL"
"Dexcom G6","DX_DB_OPEN_EXCEPTION"
"Dexcom G6","DX_END_OF_LIFE"
"Dexcom G6","DX_MSG_1ST_CALIB"
"Dexcom G6","DX_MSG_2ND_CALIB"
"Dexcom G6","DX_MSG_CALIB_ERR"
"Dexcom G6","DX_MSG_CRC_CALC"
"Dexcom G6","DX_MSG_CRC_CHECK"
"Dexcom G6","DX_MSG_CYCLE_BLUETOOTH"
"Dexcom G6","DX_MSG_END_SESS_ERR"
"Dexcom G6","DX_MSG_EXCEPTION"
"Dexcom G6","DX_MSG_EXC_MSG_ACK"
"Dexcom G6","DX_MSG_FALL_RATE"
"Dexcom G6","DX_MSG_GATT_ERROR_NOTI"
"Dexcom G6","DX_MSG_HIGH"
"Dexcom G6","DX_MSG_INVALID_BG"
"Dexcom G6","DX_MSG_LOW"
"Dexcom G6","DX_MSG_NEXT_CALIB"
"Dexcom G6","DX_MSG_NEXT_NEW_CALIB"
"Dexcom G6","DX_MSG_NO_READINGS"
"Dexcom G6","DX_MSG_PAIRED"
"Dexcom G6","DX_MSG_PAIRING"
"Dexcom G6","DX_MSG_PAIRING_FAILED"
"Dexcom G6","DX_MSG_PLANNED_CALIB"
"Dexcom G6","DX_MSG_RESTART_APP"
"Dexcom G6","DX_MSG_RISE_RATE"
"Dexcom G6","DX_MSG_SCAN_STUCK"
"Dexcom G6","DX_MSG_SENSOR_2HOURS"
"Dexcom G6","DX_MSG_SENSOR_30MINUTES"
"Dexcom G6","DX_MSG_SENSOR_6HOURS"
"Dexcom G6","DX_MSG_SENSOR_EXPIRED"
"Dexcom G6","DX_MSG_SENSOR_FAILED"
"Dexcom G6","DX_MSG_SENSOR_RESTART"
"Dexcom G6","DX_MSG_SENSOR_WARM_UP"
"Dexcom G6","DX_MSG_SIGNAL_LOSS"
"Dexcom G6","DX_MSG_SN_NAME_WRONG"
"Dexcom G6","DX_MSG_START_SESS_ERR"
"Dexcom G6","DX_MSG_TRANS_14DAYS"
"Dexcom G6","DX_MSG_TRANS_22DAYS"
"Dexcom G6","DX_MSG_TRANS_FAILED"
"Dexcom G6","DX_MSG_TRANS_LAST_END"
"Dexcom G6","DX_MSG_TRANS_LAST_START"
"Dexcom G6","DX_MSG_TRANS_LOW_BATTERY"
"Dexcom G6","DX_MSG_TRANS_TAKEN"
"Dexcom G6","DX_MSG_UNKNOWN_ERROR"
"Dexcom G6","DX_MSG_URGENT_LOW"
"Dexcom G6","DX_MSG_URGENT_LOW_SOON"
"Dexcom G6","DX_MSG_WAKELOCK_ERROR"
"Dexcom G7","DX_DB_CONTEXT_NULL"
"Dexcom G7","DX_DB_CREATION_FAIL"
"Dexcom G7","DX_DB_DELETE_FAIL"
"Dexcom G7","DX_DB_DEL_EXCEPTION"
"Dexcom G7","DX_DB_DEL_EXCEPTION2"
"Dexcom G7","DX_DB_DEL_EXCEPTION3"
"Dexcom G7","DX_DB_GET_EXCEPTION1"
"Dexcom G7","DX_DB_GET_EXCEPTION2"
"Dexcom G7","DX_DB_INS_EXCEPTION"
"Dexcom G7","DX_DB_INS_FAILED"
"Dexcom G7","DX_DB_INTEGRITY_FAIL"
"Dexcom G7","DX_DB_OPEN_EXCEPTION"
"Dexcom G7","DX_INVALID_TEST_CODE"
"Dexcom G7","DX_MSG_BAD_CALIBRATION"
"Dexcom G7","DX_MSG_CRC_CALC"
"Dexcom G7","DX_MSG_CRC_CHECK"
"Dexcom G7","DX_MSG_EXC_MSG_ACK"
"Dexcom G7","DX_MSG_FALL_RATE"
"Dexcom G7","DX_MSG_HIGH"
"Dexcom G7","DX_MSG_LOW"
"Dexcom G7","DX_MSG_OUT_OF_RANGE"
"Dexcom G7","DX_MSG_PAIRED"
"Dexcom G7","DX_MSG_PAIRING"
"Dexcom G7","DX_MSG_PAIRING_FAILED"
"Dexcom G7","DX_MSG_RESTART_APP"
"Dexcom G7","DX_MSG_RISE_RATE"
"Dexcom G7","DX_MSG_SENSOR_24_HOURS"
"Dexcom G7","DX_MSG_SENSOR_2HOURS"
"Dexcom G7","DX_MSG_SENSOR_FAILED"
"Dexcom G7","DX_MSG_SENSOR_GRACE"
"Dexcom G7","DX_MSG_SENSOR_NO_GRACE"
"Dexcom G7","DX_MSG_SIGNAL_LOSS"
"Dexcom G7","DX_MSG_SIV_FAIL"
"Dexcom G7","DX_MSG_STOPPED"
"Dexcom G7","DX_MSG_TEMP_PROBLEM"
"Dexcom G7","DX_MSG_TRANS_FAILED"
"Dexcom G7","DX_MSG_UNKNOWN_ERROR"
"Dexcom G7","DX_MSG_URGENT_LOW"
"Dexcom G7","DX_MSG_URGENT_LOW_SOON"
"Dexcom G7","DX_MSG_WARMUP"
"Dexcom G7","DX_NO_DEXCOM_CERT"
"Dexcom G7","DX_NO_DISK_SPACE"
"Dexcom G7","DX_NO_FACTORY_TIME"
"Dexcom G7","DX_NO_ROOT_CERT"
"Libre","LS3_DB_CONTEXT_NULL"
"Libre","LS3_DB_CREATION_FAIL"
"Libre","LS3_DB_DELETE_FAIL"
"Libre","LS3_DB_DEL_EXCEPTION"
"Libre","LS3_DB_DEL_EXCEPTION2"
"Libre","LS3_DB_DEL_EXCEPTION3"
"Libre","LS3_DB_GET_EXCEPTION1"
"Libre","LS3_DB_GET_EXCEPTION2"
"Libre","LS3_DB_INS_EXCEPTION"
"Libre","LS3_DB_INS_FAILED"
"Libre","LS3_DB_INTEGRITY_FAIL"
"Libre","LS3_DB_OPEN_EXCEPTION"
"Libre","LS3_HANDLER_STUCK"
"Libre","LS3_MSG_BAD_IDX_1"
"Libre","LS3_MSG_BAD_IDX_2"
"Libre","LS3_MSG_BAD_IDX_3"
"Libre","LS3_MSG_BAD_IDX_4"
"Libre","LS3_MSG_CRC_CALC"
"Libre","LS3_MSG_CRC_CHECK"
"Libre","LS3_MSG_CURR_SENSOR"
"Libre","LS3_MSG_EXC_MSG_ACK"
"Libre","LS3_MSG_EXC_SAVE_INFO"
"Libre","LS3_MSG_FALL_RATE"
"Libre","LS3_MSG_HIGH"
"Libre","LS3_MSG_LOW"
"Libre","LS3_MSG_NO_READINGS"
"Libre","LS3_MSG_RISE_RATE"
"Libre","LS3_MSG_SENSOR_2HOURS"
"Libre","LS3_MSG_SENSOR_30MINUTES"
"Libre","LS3_MSG_SENSOR_6HOURS"
"Libre","LS3_MSG_SENSOR_EXPIRED"
"Libre","LS3_MSG_SENSOR_FAILED"
"Libre","LS3_MSG_SENSOR_WARM_UP"
"Libre","LS3_MSG_SIGNAL_LOSS"
"Libre","LS3_MSG_START_SESS_ERR"
"Libre","LS3_MSG_TEMP_HIGH"
"Libre","LS3_MSG_TEMP_LOW"
"Libre","LS3_MSG_UNKNOWN_ERROR"
"Libre","LS3_MSG_URGENT_LOW"
"Libre","LS3_MSG_URGENT_LOW_SOON"
"Libre","LS3_MSG_VITAMIN_C"
"Libre","LS3_MSG_WAKELOCK_ERROR"
"Libre","LS3_MSG_WRONG_PIN"
"Libre","LS3_TOO_BIG_GAP"
